"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERPINE1",1.01850598496103e-53,-1.18071559057123,0.015,0.118,1.6151467909512e-49
"GLUL",1.15271589783123e-53,-0.439320608907141,0.203,0.372,1.82797687078077e-49
"TMEM51",1.16765953023161e-53,-0.329335181424752,0.152,0.307,1.85167448304129e-49
"INSR",1.25109934988104e-53,-0.340398737132472,0.089,0.23,1.98399334904136e-49
"SLC43A2",2.03980524951811e-53,0.299559470122738,0.269,0.134,3.23472316468582e-49
"ATP5L",2.09218976955041e-53,0.282985261909137,0.882,0.791,3.31779453655304e-49
"CNOT7",2.12223587504977e-53,0.3222206015896,0.543,0.38,3.36544165065392e-49
"ACADVL",2.63393870201224e-53,-0.389059805275729,0.467,0.606,4.176899993651e-49
"SEP15",4.04592656486509e-53,0.277969947974508,0.548,0.378,6.41603034656305e-49
"SUCO",9.0905083939942e-53,0.36317712430819,0.307,0.167,1.4415728211196e-48
"EGFL7",9.44460070849014e-53,-0.450962411935446,0.08,0.212,1.49772478035237e-48
"HIF1A",1.02258595160135e-52,-0.503315726686386,0.263,0.416,1.62161680204943e-48
"LIMA1",1.50159768855548e-52,-0.28185939065466,0.092,0.233,2.38123361451128e-48
"KIAA0930",4.09028728603919e-52,-0.26245076384879,0.086,0.225,6.48637757820095e-48
"SKP1",4.64646574477638e-52,0.296140334899186,0.762,0.618,7.36836537806639e-48
"FAM102A",6.03550017867042e-52,0.32814542500044,0.574,0.412,9.57109618333555e-48
"RPL21",6.32152661792982e-52,0.254860221081389,0.981,0.959,1.00246769107131e-47
"ATP2C1",6.45429428051911e-52,0.265436444073857,0.357,0.208,1.02352198700472e-47
"FSTL3",7.65332910775333e-52,-0.313364431985455,0.023,0.129,1.21366492990752e-47
"NFKB1",1.26128788822416e-51,-0.299260042338986,0.135,0.286,2.00015033314587e-47
"PPT1",1.2748730834988e-51,0.300998163720726,0.372,0.222,2.02169373581239e-47
"STMN1",1.280830639848e-51,-0.301689790373273,0.105,0.248,2.03114122867096e-47
"CSDE1",1.68030752535064e-51,0.318782805476146,0.853,0.773,2.66463167370105e-47
"SARAF",1.82920921648607e-51,0.320164146416066,0.719,0.579,2.90075997550361e-47
"SF3B5",1.83544420199628e-51,0.314713541133106,0.75,0.616,2.9106474155257e-47
"HPCAL1",1.9093343205873e-51,-0.252636004408332,0.046,0.166,3.02782236558733e-47
"TMCO3",3.33019231079438e-51,0.26870960104723,0.485,0.32,5.28101896645773e-47
"MANF",4.24216999790334e-51,0.4652455073845,0.545,0.399,6.72723318267512e-47
"GSTA2",5.98424339262934e-51,-0.399816932289299,0.014,0.111,9.48981317203161e-47
"TNFAIP2",6.49834238411145e-51,-0.393665319240768,0.015,0.115,1.03050713527239e-46
"SPARC",1.20149501515016e-50,-1.23802943255345,0.02,0.12,1.90533079502512e-46
"PFDN5",2.95730674236466e-50,0.298214411789841,0.74,0.628,4.68969703204188e-46
"MZT2B",2.98184541608818e-50,0.268009701175089,0.793,0.662,4.72861046083264e-46
"PEA15",3.56368561135704e-50,-0.301830699515439,0.17,0.324,5.65129264249e-46
"TC2N",3.92961961625267e-50,-0.263270567377315,0.055,0.176,6.23159078745349e-46
"HSP90AB1",4.41389431287605e-50,0.274617197590722,0.992,0.973,6.99955360135885e-46
"RCAN1",1.07518327462408e-49,-0.282690987596601,0.038,0.15,1.70502563689887e-45
"MAFF",1.20228375325144e-49,-0.318274728711595,0.086,0.218,1.90658157590613e-45
"MT1G",1.21727145597733e-49,-0.73671547308708,0.017,0.115,1.93034907488885e-45
"LMBRD1",1.26752373746852e-49,0.277713808476687,0.45,0.291,2.01003914287759e-45
"SEC63",2.21435642725098e-49,0.306054736656574,0.507,0.353,3.51152642233461e-45
"COX17",2.3248180323441e-49,0.29357836007397,0.796,0.658,3.68669643569127e-45
"BAX",2.54234279108373e-49,-0.323254568735832,0.249,0.407,4.03164719810058e-45
"LIF",3.14644215356748e-49,-0.710400854368157,0.019,0.119,4.98962796712732e-45
"PLEC",3.48268770487611e-49,-0.285078468731319,0.1,0.236,5.52284616239253e-45
"SMDT1",4.06096149083142e-49,0.264964762602558,0.677,0.51,6.43987273216047e-45
"TMEM230",6.6744146752224e-49,0.250064843968384,0.447,0.29,1.05842867919677e-44
"HAX1",8.67728327222764e-49,0.300141352506905,0.646,0.497,1.37604358130986e-44
"SPP1",9.32160415565871e-49,1.09876846553802,0.224,0.105,1.47821998700436e-44
"HSPE1",1.00620812813042e-48,0.316929022901801,0.663,0.519,1.59564484958922e-44
"ATP5G2",1.03849528276291e-48,0.264173907080101,0.936,0.873,1.64684581940542e-44
"LIMCH1",1.16563390445767e-48,0.250341118436304,0.391,0.236,1.84846224568898e-44
"EID1",1.35659695715675e-48,0.260902069864271,0.572,0.403,2.15129145465917e-44
"DDX24",1.89850663000201e-48,0.282709936032833,0.59,0.428,3.01065181385719e-44
"NR2F2",5.41728757210368e-48,-0.252010460382218,0.039,0.149,8.59073463184202e-44
"CPEB4",6.49981487101246e-48,0.263111234014421,0.368,0.22,1.03074064224516e-43
"C1orf43",8.72581565880418e-48,0.318782909467914,0.721,0.586,1.38373984717317e-43
"MAGT1",1.06382744480649e-47,0.257693831435617,0.323,0.186,1.68701756197413e-43
