"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD44",1.74487160944404e-248,1.07599821580414,0.896,0.338,2.76701739825636e-244
"TRIM47",2.37825525021196e-247,0.619425504016876,0.417,0.063,3.77143717578613e-243
"ERRFI1",1.20439050209074e-246,1.222908244036,0.636,0.181,1.9099224582155e-242
"GAS6",3.50508333202895e-246,0.55626670437542,0.327,0.035,5.55836114793151e-242
"FHL2",3.57951829495064e-246,0.706614454498186,0.358,0.044,5.67640011213272e-242
"PI3",5.71921294553978e-246,1.46965212314631,0.181,0.004,9.06952788903699e-242
"EGFR",1.21043088531519e-245,0.617428115402088,0.364,0.047,1.91950129793282e-241
"KCNQ1",1.97886894134349e-245,0.611466557163371,0.342,0.04,3.13809036718251e-241
"CHGB",8.3470251072229e-243,-2.88609634441273,0.185,0.749,1.32367124150341e-238
"CDH1",4.46569559597329e-242,1.31780708877547,0.859,0.435,7.08170007609445e-238
"CD99",2.70938455448242e-241,-2.02721250269596,0.473,0.853,4.29654202649822e-237
"SOX9",1.40433123769724e-240,0.813480834711766,0.397,0.06,2.22698847674028e-236
"GSTP1",3.42052329452824e-240,1.27390819627439,0.936,0.574,5.42426584046288e-236
"CEBPB",6.10231802494456e-240,0.968694638902368,0.679,0.194,9.67705592395708e-236
"ITGA2",1.02756279098392e-239,1.00027488629583,0.551,0.123,1.6295090739423e-235
"SPP1",1.69085351046504e-238,2.17618275898661,0.494,0.098,2.68135549689546e-234
"KCNK5",4.18115719247333e-237,0.310722613494632,0.165,0.003,6.6304790758242e-233
"FILIP1L",1.28385014917097e-236,0.777384485247917,0.353,0.046,2.03592956655533e-232
"TNIP1",7.32442722955325e-236,0.93623422454621,0.693,0.224,1.16150767006255e-231
"TAGLN2",8.28133184975443e-235,1.08587134496084,0.992,0.915,1.31325360473406e-230
"YBX3",8.63747002366991e-233,0.839305150148768,0.745,0.219,1.36972999635357e-228
"DUSP1",2.1324765449235e-231,1.62619585820109,0.808,0.371,3.38168130493969e-227
"PTPRN",6.03764219512502e-230,-2.14455656463302,0.103,0.7,9.57449299302925e-226
"PAM",3.25457737598496e-229,-1.9450716214846,0.187,0.742,5.16110880283695e-225
"IER3",6.13273171762896e-229,1.48071501339978,0.959,0.623,9.725285957816e-225
"HLA.C",2.40313426289398e-228,1.20168192866315,0.979,0.859,3.81089031409727e-224
"APCDD1",5.26293276762096e-228,0.555729770889807,0.177,0.005,8.34595878289331e-224
"SCGN",7.10469980702038e-228,-2.0985622826142,0.128,0.709,1.12666329539729e-223
"CAPN6",7.12604532171235e-228,0.309973453389058,0.161,0.003,1.13004826711714e-223
"APCS",1.71323160305253e-227,0.635246146630676,0.156,0.003,2.71684267612071e-223
"RNF223",1.02546126246874e-226,0.252510156012838,0.147,0.002,1.62617647002293e-222
"IL4R",1.58871064420766e-226,0.73653076891968,0.497,0.105,2.5193773395845e-222
"SCG2",1.41155678969131e-225,-2.51947746573723,0.155,0.715,2.23844675709248e-221
"VGLL3",1.31810963219208e-224,0.360506243131057,0.187,0.007,2.09025825473019e-220
"CLMN",1.99442703068872e-223,0.760914946121481,0.476,0.098,3.16276238526617e-219
"C1S",2.20486001562874e-223,0.620718453077774,0.368,0.052,3.49646701278406e-219
"ERGIC1",4.69313759228931e-223,1.01362686154872,0.751,0.295,7.44237759385239e-219
"SERPINA3",1.6994682281167e-222,0.889421396249377,0.768,0.241,2.69501671614747e-218
"BIRC3",3.08491781437354e-222,0.922460274089236,0.537,0.126,4.89206267003356e-218
"ATF3",2.23133371104072e-221,1.28384114424381,0.675,0.219,3.53844899896837e-217
"NCOA7",4.42995712829676e-221,1.0371179291396,0.563,0.147,7.02502601405301e-217
"TMC6",1.48088735689573e-219,0.337953958020518,0.227,0.015,2.34839117056525e-215
"DUSP5",3.82455328121423e-219,1.34634870501703,0.672,0.22,6.06497659334953e-215
"MGLL",1.66440378656588e-218,0.756696982659745,0.381,0.06,2.63941152473617e-214
"NCK2",2.73456143020564e-218,0.645428541798207,0.478,0.101,4.3364675160201e-214
"TGIF1",3.19148012420328e-218,0.628424878507706,0.45,0.086,5.06104918096156e-214
"MAL2",4.00623754834186e-217,1.02237370478439,0.694,0.244,6.35309150416052e-213
"ACTB",6.31750846198753e-217,1.41948357356461,0.997,0.962,1.00183049190198e-212
"EXT1",4.30771121583194e-216,0.687626399427894,0.495,0.111,6.83116844606629e-212
"EFNA1",9.115445009786e-216,1.08516486784089,0.584,0.16,1.44552726965186e-211
"CAPG",2.83249445459802e-215,0.58728069619607,0.408,0.071,4.49176970610154e-211
"CD59",2.24268460844065e-212,1.3085528086824,0.943,0.71,3.55644925206518e-208
"MYH9",4.11114989405543e-212,1.2547212262857,0.869,0.452,6.51946150199311e-208
"ZYX",1.86132002513008e-209,1.00189132689945,0.704,0.254,2.95168129585127e-205
"CAPN2",2.35594492479086e-209,1.00872464710372,0.734,0.299,3.73605746173335e-205
"SEMA3B",4.429318097158e-209,0.423979850975286,0.273,0.028,7.02401263847315e-205
"SPATS2L",7.49215783517425e-209,0.979463628927606,0.751,0.299,1.18810638950193e-204
"TST",1.25841837369186e-208,0.606940971848707,0.416,0.078,1.99559985700055e-204
"PPARD",2.05237967303958e-208,0.686854313452043,0.428,0.084,3.25466368550616e-204
"FLRT2",8.83937344043992e-208,0.593984653111674,0.301,0.037,1.40174784018496e-203
"CREB5",1.10245822874154e-207,0.68896184279283,0.402,0.073,1.74827825913833e-203
"GPRC5A",2.2943777903339e-205,0.817737527193217,0.307,0.039,3.63842429991149e-201
"MYL12B",1.40586704584454e-204,1.08614739749848,0.912,0.595,2.22942396130027e-200
"GOLM1",2.45245310733179e-204,0.954781276075425,0.613,0.193,3.88910013760675e-200
"VGF",1.28956484708443e-203,-2.78314286030381,0.149,0.686,2.04499193450649e-199
"C1R",6.57295168369319e-203,0.533525358612059,0.331,0.046,1.04233867800007e-198
"DDIT4",1.3667965533982e-201,1.46242166424414,0.823,0.385,2.16746597437887e-197
"QSOX1",6.12371602577291e-201,0.919133608962886,0.677,0.244,9.71098887367068e-197
"PVRL4",3.68641412696357e-200,0.407313156666402,0.259,0.026,5.84591552253882e-196
"ATP1A1",4.1105203179046e-200,1.56193992493127,0.937,0.705,6.51846312013311e-196
"BICC1",6.83172179929991e-200,0.437115549476798,0.216,0.016,1.08337444293298e-195
"TTR",2.87799634841181e-199,-4.35820555724008,0.449,0.802,4.56392660931144e-195
"UGT2A3",4.06012484594763e-199,0.376923987450696,0.208,0.014,6.43854598070375e-195
"MYL12A",6.88163304513386e-199,1.02121760974358,0.82,0.386,1.09128936829733e-194
"TES",1.04763089318451e-198,0.820581168565749,0.591,0.18,1.661333070412e-194
"UPK1B",1.37856344816523e-198,0.300157818746072,0.125,0.001,2.18612591610042e-194
"CDKN2B",1.69736071805449e-198,0.567498579586367,0.295,0.037,2.69167462669081e-194
"LBH",1.85708845891411e-198,0.810179986766284,0.469,0.106,2.944970878146e-194
"IGSF3",2.06183989437097e-198,0.299532035041953,0.18,0.009,3.26966570449348e-194
"MSN",3.0611579608722e-198,0.880375620155416,0.637,0.198,4.85438429435114e-194
"OSMR",5.13526023356512e-198,0.605591760990307,0.42,0.083,8.14349567838757e-194
"TPM4",5.56446205134633e-198,1.11352906221989,0.83,0.412,8.82412392102502e-194
"RND1",3.12392629826125e-197,0.826265954980319,0.344,0.054,4.95392232378269e-193
"RAC1",4.54816499536407e-197,0.933896506255604,0.964,0.837,7.21248004964834e-193
"CNN3",7.66406578588003e-197,0.78621324358526,0.566,0.156,1.21536755232485e-192
"TNFSF10",3.68138952770165e-196,0.770732463398013,0.47,0.11,5.83794751302927e-192
"SGK223",1.25972500974499e-195,0.411821515891041,0.24,0.022,1.99767192045361e-191
"SIRPA",6.26466899137412e-195,0.433534965420876,0.332,0.049,9.93451208652108e-191
"MMP14",2.19119951350723e-194,0.346999405861414,0.506,0.11,3.47480418851977e-190
"IER2",6.62416983965833e-194,1.14429264565231,0.797,0.362,1.05046085317302e-189
"FA2H",1.48069617616082e-193,0.500004854145827,0.279,0.034,2.34808799615583e-189
"GNAS",9.33892153563196e-193,-2.11866221263822,0.978,0.933,1.48096617712052e-188
"AKAP7",6.35989103038414e-192,0.480714060619587,0.213,0.017,1.00855151959832e-187
"CDR2L",2.44268221721166e-191,0.444967071011009,0.328,0.049,3.87360546005425e-187
"NFIB",1.43311780871215e-190,0.600708969822301,0.419,0.085,2.27263822105573e-186
"MYO1E",2.09440569912237e-190,0.514531391801263,0.356,0.06,3.32130855766825e-186
"MGAT4B",2.59278102280463e-189,1.06834695713263,0.765,0.365,4.11163214596358e-185
"ST6GALNAC2",2.85207004654945e-189,0.255856406503747,0.162,0.007,4.52281267981811e-185
"PEMT",5.05047964617205e-189,-1.91299892827237,0.208,0.692,8.00905062289963e-185
"SLC43A3",7.05804661728925e-189,0.697125694635405,0.352,0.059,1.11926503256973e-184
"PDLIM7",2.6579206628237e-188,0.665603237955552,0.463,0.106,4.21493058710582e-184
"DUOXA2",6.02347190671433e-188,1.12009876450714,0.384,0.07,9.55202174966758e-184
"KIAA1324",6.34565635433463e-188,-1.54216819196293,0.072,0.623,1.00629418467039e-183
"DHCR24",1.73800780677882e-187,0.649655224261027,0.381,0.073,2.75613277998985e-183
"CSF1",2.39062555216059e-187,0.480482846507054,0.23,0.022,3.79105400061627e-183
"CARD10",1.16624274404354e-186,0.507448967130742,0.377,0.069,1.84942774350424e-182
"NUAK2",3.19607091085032e-186,0.515963632842675,0.246,0.026,5.06832925042644e-182
"DSG2",2.99968841154805e-185,0.772295281180415,0.579,0.182,4.7569058830329e-181
"DHRS3",1.13005372008212e-184,0.757260245961884,0.587,0.179,1.79203918930622e-180
"RHBDF1",5.42663989854044e-183,0.359628495942395,0.226,0.021,8.60556555110543e-179
"ASAP2",3.93245402358932e-182,0.333677821219424,0.232,0.023,6.23608559060795e-178
"CXCL8",4.56221797838973e-182,1.30969685388531,0.551,0.161,7.23476527013044e-178
"ITIH5",1.42553198156379e-180,0.363363207718153,0.163,0.008,2.26060861636386e-176
"PCSK2",2.09679278137517e-180,-2.02934074016495,0.078,0.611,3.32509399270475e-176
"GRB7",6.20714163686215e-180,0.541231857157203,0.364,0.068,9.84328520773599e-176
"TAX1BP3",6.82712576794125e-180,0.806668598234337,0.638,0.226,1.08264560428012e-175
"BEX1",1.16136633867452e-179,-1.3207376357239,0.077,0.609,1.84169473987006e-175
"BMP2",1.83880906383747e-179,0.609800083607693,0.341,0.059,2.91598341343347e-175
"NLRP1",4.49583540968819e-179,-1.51229816213818,0.049,0.585,7.12949579268354e-175
"MFSD2B",7.47450628641473e-178,0.73285647670277,0.432,0.103,1.18530720689965e-173
"ADGRF1",9.76299678137577e-178,0.298838023013771,0.123,0.002,1.54821602959057e-173
"TMBIM1",2.90067070678576e-177,0.989325118848323,0.856,0.474,4.59988360682086e-173
"FAM129B",9.86834297049776e-177,0.999942375876549,0.769,0.365,1.56492182826153e-172
"TNFRSF10B",1.3535023592911e-176,0.539456952868421,0.398,0.082,2.14638404136383e-172
"CD9",1.38550518128177e-176,0.771387280506888,0.632,0.214,2.19713411647663e-172
"SDCBP2",1.72646914434463e-176,0.697418781410553,0.402,0.086,2.73783476910171e-172
"SH3BP4",2.11148914385371e-176,0.633849673685578,0.429,0.097,3.34839948432322e-172
"SEL1L3",2.75434639061419e-175,0.606979166171057,0.439,0.104,4.36784250623598e-171
"STK17A",1.42760459630266e-174,0.49870718855151,0.344,0.062,2.26389536881676e-170
"PPP1R1A",6.15748026460144e-174,-2.09086871742658,0.089,0.601,9.76453220360496e-170
"LIF",1.06976061129409e-173,0.795648918381942,0.346,0.06,1.69642637739017e-169
"JAG1",1.1494437442116e-173,0.525661003375393,0.313,0.049,1.82278788957076e-169
"CTNND1",2.33749737334662e-173,0.901942848988531,0.779,0.385,3.70680333465307e-169
"CARHSP1",4.10058014498567e-173,0.848788556623938,0.703,0.286,6.50269999391827e-169
"PXDC1",9.13863789230178e-173,0.513518348834962,0.385,0.079,1.44920519696122e-168
"CAPN1",1.08764083205053e-172,0.869346198318433,0.753,0.359,1.72478083146573e-168
"GDF15",5.04629568922584e-172,1.93523033362196,0.659,0.253,8.00241570397434e-168
"PIK3AP1",5.5491440936266e-172,0.396104185898765,0.232,0.025,8.79983270367306e-168
"TNFAIP3",2.93319614598232e-169,0.97077598700598,0.43,0.104,4.65146244829877e-165
"PAX6",5.27888941351976e-169,-1.49774136092327,0.045,0.566,8.37126283195963e-165
"LURAP1L",2.24474684573922e-168,0.711787091946413,0.415,0.096,3.55971954797326e-164
"TMOD1",8.3977504512079e-168,-1.19555723760362,0.037,0.553,1.33171526655255e-163
"SLC12A7",9.16136219322551e-168,0.784023457450853,0.582,0.193,1.4528088166017e-163
"ENO1",1.40331700138776e-167,0.999783834067228,0.972,0.873,2.22538010080072e-163
"ALDH3A2",1.77528451999064e-167,0.747669481490592,0.467,0.126,2.81524619180115e-163
"GPX3",7.83513455484148e-167,-2.08679198652313,0.191,0.647,1.24249563770676e-162
"PTP4A2",8.48715562641669e-167,0.946864081451557,0.803,0.463,1.34589313923716e-162
"LGALS9",1.75522287772109e-166,0.419118843736434,0.26,0.034,2.7834324394901e-162
"SLC38A1",9.2730041086257e-166,0.442082204082857,0.327,0.058,1.47051299154586e-161
"RHOF",2.64259670270559e-165,0.367032589844918,0.207,0.02,4.19062985115052e-161
"PPP1R13L",1.62688123386273e-164,0.46029716524082,0.325,0.058,2.57990826065952e-160
"PTPRK",3.26564738850778e-164,0.514037464366266,0.396,0.088,5.17866362869564e-160
"HNF1B",4.91832904311964e-164,0.424979831810019,0.294,0.046,7.79948619657913e-160
